FullPath,GOOD/BAD MAINPATH,Instance,SOL_1,SOL_2,SOL_3,LOC_SOL,SOL_GLOB,CAT_1,CAT_2,CAT_3,REQ_1,REQ_2,REQ_3,COND_1,COND_2,COND_3
/content/dataset-2/А21-279-2019/2020.07.13.txt,GOOD DEF,1,В удовлетворении требования отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным договора,,,"Истец, ссылающийся на несоблюдение процедуры расторжения договора аренды с его правопредшественником, полагает, что заключение нового договора аренды с третьи лицом является незаконным и препятствует в осуществлении хозяйственной деятельности на эксплуатируемых гидротехнических сооружениях",,
/content/dataset-2/А21-279-2019/2020.10.20.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным договора,,,"Истец, ссылающийся на несоблюдение процедуры расторжения договора аренды с его правопредшественником, полагает, что заключение нового договора аренды с третьи лицом является незаконным и препятствует в осуществлении хозяйственной деятельности на эксплуатируемых гидротехнических сооружениях",,
/content/dataset-2/А21-3557-2020/2020.07.17.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Ненадлежащее поведение должника,,
/content/dataset-2/А21-3557-2020/2021.06.01.txt,GOOD DEF,2,Удовлетворено в части,,,удовлетворено частично,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Ненадлежащее поведение должника,,
/content/dataset-2/А21-3557-2020/2021.08.17.txt,GOOD DEF,3,Определение оставлено без изменения,,,удовлетворено,удовлетворено,Банкротство гражданина,,,О признании гражданина несостоятельным (банкротом),,,Ненадлежащее поведение должника,,
/content/dataset-2/А21-3763-2020/2020.07.02.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Нецелевое использование земельного участка,,
/content/dataset-2/А21-3763-2020/2020.09.30.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Нецелевое использование земельного участка,,
/content/dataset-2/А21-3823-2020/2020.07.22.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено частично,Банкротство гражданина,,,О включении в реестр требований кредиторов требования,,,Ненадлежащее поведение должника,,
/content/dataset-2/А21-3823-2020/2021.01.19.txt,GOOD DEF,2,Удовлетворено в части,,,удовлетворено частично,удовлетворено частично,Банкротство гражданина,,,О включении в реестр требований кредиторов требования,,,"Неисполнение должником обязательств по договору займа, отсутствие средств для исполнения обязательств",,
/content/dataset-2/А21-3823-2020/2021.04.15.txt,GOOD DEF,3,"Требование удовлетворено частично, взысканы суммы неустойки, установленные решением суда, поскольку спорная сумма является обоснованной, определена с учетом соблюдения баланса между применяемой мерой ответственности и последствиями ненадлежащего исполнения им обязательств",,,удовлетворено частично,удовлетворено частично,Банкротство гражданина,,,О включении в реестр требований кредиторов требования,,,Ненадлежащее поведение должника,,
/content/dataset-2/А21-4335-2020/2020.07.23.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено,Аренда земли,,,Об изъятии объекта незавершенного строительства,,,"Действие договора аренды земельного участка прекращено в связи с истечением установленного в нем срока, вследствие чего незавершенный строительством объект, собственником которого является арендатор, подлежит отчуждению на основании ст. 239.1 ГК РФ",,
/content/dataset-2/А21-4335-2020/2020.11.10.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Аренда земли,,,Об изъятии объекта незавершенного строительства,,,"Действие договора аренды земельного участка прекращено в связи с истечением установленного в нем срока, вследствие чего незавершенный строительством объект, собственником которого является арендатор, подлежит отчуждению на основании ст. 239.1 ГК РФ",,
/content/dataset-2/А21-5163-2020/2020.07.23.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-5163-2020/2020.09.29.txt,GOOD DEF,2,Удовлетворено,Удовлетворено,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-5163-2020/2021.01.26.txt,GOOD DEF,3,"Требование удовлетворено, поскольку факт поставки электроэнергии подтвержден, а доказательства ее оплаты не представлены; расчет неустойки признан верным",,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А21-9955-2019/2020.07.14.txt,GOOD DEF,1,Требование удовлетворено в части,,NOT MY COND,удовлетворено частично,удовлетворено частично,Аренда земли,Признание права собственности,,О признании отсутствующими права аренды,,,Самовольная постройка,,
/content/dataset-2/А21-9955-2019/2020.12.02.txt,GOOD DEF,2,Удовлетворено в части,Удовлетворено в части,Удовлетворено в части,удовлетворено частично,удовлетворено частично,Аренда земли,Признание права собственности,,О признании отсутствующими права аренды,,,"Истец ссылается на то, что наличие зарегистрированных за ответчиками прав аренды земельного участка и собственности в отношении производственного здания препятствует истцу использовать и распоряжаться участком",,
/content/dataset-2/А21-9955-2019/2021.03.29.txt,GOOD DEF,3,"Требование удовлетворено, поскольку лицом, за которым первоначально было зарегистрировано право собственности на строение, совершены сделки по отчуждению строения после вступления в силу судебного акта по делу о признании отсутствующими права аренды в отношении участка и права собственности на строение",,,удовлетворено,удовлетворено частично,Аренда земли,Признание права собственности,,О признании отсутствующими права аренды,,,Самовольная постройка,,
/content/dataset-2/А26-12137-2019/2020.07.03.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-12137-2019/2020.09.30.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-12508-2019/2020.07.14.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании неосновательного обогащения,,,Безучетное потребление,,
/content/dataset-2/А26-12508-2019/2020.09.18.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании неосновательного обогащения,,,Безучетное потребление,,
/content/dataset-2/А26-12508-2019/2021.01.14.txt,GOOD DEF,3,"Требование удовлетворено, поскольку факт безучетного потребления электроэнергии подтвержден, потребитель не опроверг то обстоятельство, что обнаруженная неисправность привела к искажению данных об объеме потребления электроэнергии, и не доказал корректную работу узла учета",,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании неосновательного обогащения,,,Безучетное потребление,,
/content/dataset-2/А26-12784-2019/2020.07.13.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,Причинение вреда окружающей среде,Споры в сфере охраны окружающей среды,О взыскании ущерба,,,В результате осмотра переданного в аренду лесного участка установлен факт рубки деревьев в водоохранной зоне,,
/content/dataset-2/А26-12784-2019/2020.10.27.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Аренда земли,Причинение вреда окружающей среде,Споры в сфере охраны окружающей среды,О взыскании ущерба,,,В результате осмотра переданного в аренду лесного участка установлен факт рубки деревьев в водоохранной зоне,,
/content/dataset-2/А26-12850-2018/2020.07.20.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным юридически значимого сообщения,,,Неосвобождение земельного участка,,
/content/dataset-2/А26-12850-2018/2020.11.17.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным юридически значимого сообщения,,,"Арендатор полагает, что расторжение договора аренды земельного участка не является основанием демонтажа расположенного на нем нестационарного торгового объекта, включенного в схему размещения НТО, поскольку спорный объект установлен в соответствии с ранее действующим порядком на законных основаниях",,
/content/dataset-2/А26-12850-2018/2021.03.29.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку договорные отношения между сторонами прекратились, иных оснований для занятия участка у арендатора не имеется; последним не представлены доказательства возврата арендованного участка после прекращения арендных отношений",,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным юридически значимого сообщения,,,Неосвобождение земельного участка,,
/content/dataset-2/А26-1479-2020/2020.07.27.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Истечение срока действия договора,,
/content/dataset-2/А26-1479-2020/2020.10.21.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Истечение срока действия договора,,
/content/dataset-2/А26-1741-2020/2020.07.21.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-1741-2020/2020.09.30.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-2436-2020/2020.07.23.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным договора,,,Прокурор ссылается на противоречие спорных пунктов законодательству,,
/content/dataset-2/А26-2436-2020/2020.09.30.txt,GOOD DEF,2,Отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным договора,,,"По мнению прокурора, оспариваемые условия договора являются недействительными (ничтожными), поскольку противоречат императивной норме закона - п. 9 ст. 22 ЗК РФ и нарушают императивно установленный запрет",,
/content/dataset-2/А26-2436-2020/2021.02.09.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку не доказано нарушение оспариваемой сделкой публичного интереса либо прав и охраняемых законом интересов третьих лиц",,,не удовлетворено,не удовлетворено,Аренда земли,,,О признании недействительным договора,,,Прокурор ссылается на противоречие спорных пунктов законодательству,,
/content/dataset-2/А26-2645-2020/2020.07.16.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,О взыскании неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-2645-2020/2020.09.29.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,не удовлетворено,Поставка электроэнергии,,,О взыскании неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-2645-2020/2020.12.24.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку договором не установлена ответственность (неустойка) за просрочку внесения промежуточных (авансовых) платежей",,,не удовлетворено,не удовлетворено,Поставка электроэнергии,,,О взыскании неустойки,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-2781-2020/2020.07.22.txt,GOOD DEF,2,"Удовлетворено, поскольку заявленные истцом в рамках спора о расторжении договора аренды лесного участка обеспечительные меры в виде запрета арендатору осуществлять заготовку древесины соразмерны заявленным исковым требованиям и направлены на сохранение существующего состояния отношений между сторонами",,NOT MY COND,удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,В связи с исключением инвестиционного проекта арендатора из перечня приоритетных инвестиционных проектов в области освоения лесов арендодатель полагает возможным расторгнуть договор аренды с возвратом занимаемого объекта,,
/content/dataset-2/А26-2781-2020/2020.08.03.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,В связи с исключением инвестиционного проекта арендатора из перечня приоритетных инвестиционных проектов в области освоения лесов арендодатель полагает возможным расторгнуть договор аренды с возвратом занимаемого объекта,,
/content/dataset-2/А26-2781-2020/2020.10.01.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,В связи с исключением инвестиционного проекта арендатора из перечня приоритетных инвестиционных проектов в области освоения лесов арендодатель полагает возможным расторгнуть договор аренды с возвратом занимаемого объекта,,
/content/dataset-2/А26-3134-2020/2020.07.02.txt,GOOD DEF,1,В удовлетворении требования отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Неосвобождение земельного участка,,
/content/dataset-2/А26-3134-2020/2020.10.02.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Неосвобождение земельного участка,,
/content/dataset-2/А26-3135-2020/2020.07.02.txt,GOOD DEF,1,В удовлетворении требования отказано,,NOT MY COND,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3135-2020/2020.10.19.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3337-2020/2020.07.08.txt,GOOD DEF,1,В удовлетворении требования отказано,,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Арендодатель ссылается на продолжение использования арендатором участка по причине оставшихся на нем опор линий электропередачи,,
/content/dataset-2/А26-3337-2020/2020.09.08.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,"Сторонами заключен договор аренды лесного участка, обязательства по внесению арендной платы по которому исполнены арендатором надлежащим образом",,
/content/dataset-2/А26-3337-2020/2020.12.14.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку работы, связанные со строительством линейных объектов, завершены, строительные материалы и техника вывезены; участки готовы для возврата арендодателю в состоянии, обусловленном договором; общество письмом заявило об одностороннем отказе от договора, приложив акт возврата лесного участка",,,не удовлетворено,не удовлетворено,Аренда земли,,,О взыскании задолженности,,,Арендодатель ссылается на продолжение использования арендатором участка по причине оставшихся на нем опор линий электропередачи,,
/content/dataset-2/А26-3399-2020/2020.07.20.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки в порядке 395 ГК РФ,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3399-2020/2020.10.08.txt,GOOD DEF,2,Удовлетворено,,,удовлетворено,удовлетворено,Поставка электроэнергии,,,О взыскании задолженности и неустойки в порядке 395 ГК РФ,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3459-2020/2020.07.13.txt,GOOD DEF,1,Требование удовлетворено,,NOT MY COND,удовлетворено,удовлетворено частично,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3459-2020/2020.10.23.txt,GOOD DEF,2,Удовлетворено в части,,,удовлетворено частично,удовлетворено частично,Поставка электроэнергии,,,О взыскании задолженности,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3663-2020/2020.07.30.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3663-2020/2020.10.20.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3663-2020/2021.01.19.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку долг по арендной плате погашен, наличие у арендатора финансовых затруднений обусловлено, в частности, уничтожением здания лесозавода в результате пожара; досрочное расторжение договора аренды является крайней мерой, допустимой при неустранении обстоятельств, препятствующих осуществлению договорных отношений",,,не удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3664-2020/2020.07.17.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3664-2020/2020.10.07.txt,GOOD DEF,2,Отказано,Отказано,,не удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3664-2020/2021.01.27.txt,GOOD DEF,3,"В удовлетворении требования отказано, поскольку долг по арендной плате погашен, уплачена арендная плата за следующие периоды, наличие у арендатора финансовых затруднений обусловлено, в частности, уничтожением здания лесозавода в результате пожара; расторжение договора несоразмерно степени нарушения обязательства",,,не удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Неоплата услуг/Нарушение обязанности по оплате,,
/content/dataset-2/А26-3665-2020/2020.07.17.txt,GOOD DEF,1,Требование удовлетворено,,,удовлетворено,не удовлетворено,Аренда земли,,,О расторжении договора,,,Нарушение сроков оплаты,,
